Search Results: 2020 
FIPS code,State,County,Jurisdiction,Jurisdiction Type,Make,Model,Equipment Type,VVPAT,Polling Place,Accessible Use,Early Voting,Absentee Ballots
"0601700000","California","El Dorado","El Dorado County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0601900000","California","Fresno","Fresno County","County","Dominion Voting Systems","ImageCast Evolution","Hybrid Optical Scan/BMD","N/A","Yes","No","Yes","No",
"0601900000","California","Fresno","Fresno County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0601900000","California","Fresno","Fresno County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0601900000","California","Fresno","Fresno County","County","DFM","Vote Center App","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0601900000","California","Fresno","Fresno County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0602100000","California","Glenn","Glenn County","County","Dominion Voting Systems","ImageCast Evolution","Hybrid Optical Scan/BMD","N/A","Yes","No","Yes","No",
"0602100000","California","Glenn","Glenn County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0602100000","California","Glenn","Glenn County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0602100000","California","Glenn","Glenn County","County","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","Yes","No",
"0602100000","California","Glenn","Glenn County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0602300000","California","Humboldt","Humboldt County","County","Hart InterCivic","Verity Scan","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0602300000","California","Humboldt","Humboldt County","County","Hart InterCivic","Verity Touch Writer","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0602300000","California","Humboldt","Humboldt County","County","Hart InterCivic","Verity Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0602300000","California","Humboldt","Humboldt County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0602300000","California","Humboldt","Humboldt County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0602500000","California","Imperial","Imperial County","County","Dominion Voting Systems","ImageCast Evolution","Hybrid Optical Scan/BMD","N/A","Yes","Yes","Yes","No",
"0602500000","California","Imperial","Imperial County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0602500000","California","Imperial","Imperial County","County","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","Yes","No",
"0602500000","California","Imperial","Imperial County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0602700000","California","Inyo","Inyo County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0602700000","California","Inyo","Inyo County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0602700000","California","Inyo","Inyo County","County","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","Yes","No",
"0602700000","California","Inyo","Inyo County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0602900000","California","Kern","Kern County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0602900000","California","Kern","Kern County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0602900000","California","Kern","Kern County","County","Tenex","Precinct Central","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0602900000","California","Kern","Kern County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0603100000","California","Kings","Kings County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0603100000","California","Kings","Kings County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0603100000","California","Kings","Kings County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0603100000","California","Kings","Kings County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0603100000","California","Kings","Kings County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0603300000","California","Lake","Lake County","County","Hart InterCivic","Verity Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0603300000","California","Lake","Lake County","County","Hart InterCivic","Verity Touch Writer","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0603300000","California","Lake","Lake County","County","Hart InterCivic","Verity Scan","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0603300000","California","Lake","Lake County","County","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","Yes","No",
"0603300000","California","Lake","Lake County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0603500000","California","Lassen","Lassen County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0603500000","California","Lassen","Lassen County","County","Election Systems & Software","ExpressVote","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0603500000","California","Lassen","Lassen County","County","Election Systems & Software","DS450","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0603500000","California","Lassen","Lassen County","County","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","Yes","No",
"0603500000","California","Lassen","Lassen County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0603700000","California","Los Angeles","Los Angeles County","County","Smartmatic/Los Angeles County","VSAP Tally","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0603700000","California","Los Angeles","Los Angeles County","County","Smartmatic/Los Angeles County","VSAP Ballot Marking Device","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0603700000","California","Los Angeles","Los Angeles County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0603700000","California","Los Angeles","Los Angeles County","County","Smartmatic/Los Angeles County","VSAP Interactive Sample Ballot","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0603900000","California","Madera","Madera County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0603900000","California","Madera","Madera County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0603900000","California","Madera","Madera County","County","DFM","EIMS","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0603900000","California","Madera","Madera County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0604100000","California","Marin","Marin County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0604100000","California","Marin","Marin County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0604100000","California","Marin","Marin County","County","DFM","EIMS","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0604100000","California","Marin","Marin County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0604300000","California","Mariposa","Mariposa County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0604300000","California","Mariposa","Mariposa County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0604300000","California","Mariposa","Mariposa County","County","DFM","EIMS","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0604300000","California","Mariposa","Mariposa County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0604500000","California","Mendocino","Mendocino County","County","Hart InterCivic","Verity Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0604500000","California","Mendocino","Mendocino County","County","Hart InterCivic","Verity Touch Writer","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0604500000","California","Mendocino","Mendocino County","County","Hart InterCivic","Verity Scan","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0604500000","California","Mendocino","Mendocino County","County","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","Yes","No",
"0604500000","California","Mendocino","Mendocino County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0604700000","California","Merced","Merced County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0604700000","California","Merced","Merced County","County","Election Systems & Software","ExpressVote","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0604700000","California","Merced","Merced County","County","Election Systems & Software","DS850","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0604700000","California","Merced","Merced County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0604700000","California","Merced","Merced County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0604900000","California","Modoc","Modoc County","County","Election Systems & Software","DS200","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0604900000","California","Modoc","Modoc County","County","Election Systems & Software","ExpressVote","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0604900000","California","Modoc","Modoc County","County","Election Systems & Software","DS450","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0604900000","California","Modoc","Modoc County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0604900000","California","Modoc","Modoc County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0605100000","California","Mono","Mono County","County","Dominion Voting Systems","ImageCast Evolution","Hybrid Optical Scan/BMD","N/A","Yes","No","Yes","No",
"0605100000","California","Mono","Mono County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0605100000","California","Mono","Mono County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0605100000","California","Mono","Mono County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0605100000","California","Mono","Mono County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0605300000","California","Monterey","Monterey County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0605300000","California","Monterey","Monterey County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0605300000","California","Monterey","Monterey County","County","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","Yes","No",
"0605300000","California","Monterey","Monterey County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0605500000","California","Napa","Napa County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0605500000","California","Napa","Napa County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0605500000","California","Napa","Napa County","County","DFM","Vote Center App","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0605500000","California","Napa","Napa County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0605700000","California","Nevada","Nevada County","County","Runbeck","EMS-DIMS","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0605700000","California","Nevada","Nevada County","County","Hart InterCivic","Verity Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0605700000","California","Nevada","Nevada County","County","Hart InterCivic","Verity Touch Writer","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0605700000","California","Nevada","Nevada County","County","Hart InterCivic","Verity Scan","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0605700000","California","Nevada","Nevada County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0605900000","California","Orange","Orange County","County","Hart InterCivic","Verity Scan","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0605900000","California","Orange","Orange County","County","Hart InterCivic","Verity Touch Writer","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0605900000","California","Orange","Orange County","County","Hart InterCivic","Verity Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0605900000","California","Orange","Orange County","County","Tenex","Precinct Central","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0605900000","California","Orange","Orange County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0606100000","California","Placer","Placer County","County","Dominion Voting Systems","ImageCast Evolution","Hybrid Optical Scan/BMD","N/A","Yes","No","Yes","No",
"0606100000","California","Placer","Placer County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0606100000","California","Placer","Placer County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0606100000","California","Placer","Placer County","County","DFM","Vote Center App","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0606100000","California","Placer","Placer County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0606300000","California","Plumas","Plumas County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0606300000","California","Plumas","Plumas County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0606300000","California","Plumas","Plumas County","County","DFM","EIMS","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0606300000","California","Plumas","Plumas County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0606500000","California","Riverside","Riverside County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0606500000","California","Riverside","Riverside County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0606500000","California","Riverside","Riverside County","County","DFM","EIMS","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0606500000","California","Riverside","Riverside County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0606700000","California","Sacramento","Sacramento County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0606700000","California","Sacramento","Sacramento County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0606700000","California","Sacramento","Sacramento County","County","DFM","EIMS","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0606700000","California","Sacramento","Sacramento County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0606900000","California","San Benito","San Benito County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0606900000","California","San Benito","San Benito County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0606900000","California","San Benito","San Benito County","County","Tenex","Precinct Central","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0606900000","California","San Benito","San Benito County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0607100000","California","San Bernardino","San Bernardino County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0607100000","California","San Bernardino","San Bernardino County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0607100000","California","San Bernardino","San Bernardino County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0607100000","California","San Bernardino","San Bernardino County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0607300000","California","San Diego","San Diego County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0607300000","California","San Diego","San Diego County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0607300000","California","San Diego","San Diego County","County","Tenex","Precinct Central","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0607300000","California","San Diego","San Diego County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0607500000","California","San Francisco","San Francisco County","County","Dominion Voting Systems","ImageCast Evolution","Hybrid Optical Scan/BMD","N/A","Yes","No","Yes","No",
"0607500000","California","San Francisco","San Francisco County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0607500000","California","San Francisco","San Francisco County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0607500000","California","San Francisco","San Francisco County","County","DFM","EIMS","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0607500000","California","San Francisco","San Francisco County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0607700000","California","San Joaquin","San Joaquin County","County","Hart InterCivic","Verity Scan","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0607700000","California","San Joaquin","San Joaquin County","County","Hart InterCivic","Verity Touch Writer","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0607700000","California","San Joaquin","San Joaquin County","County","Hart InterCivic","Verity Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0607700000","California","San Joaquin","San Joaquin County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0607700000","California","San Joaquin","San Joaquin County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0607900000","California","San Luis Obispo","San Luis Obispo County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0607900000","California","San Luis Obispo","San Luis Obispo County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0607900000","California","San Luis Obispo","San Luis Obispo County","County","DFM","Vote Center App","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0607900000","California","San Luis Obispo","San Luis Obispo County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0608100000","California","San Mateo","San Mateo County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0608100000","California","San Mateo","San Mateo County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0608100000","California","San Mateo","San Mateo County","County","Tenex","Precinct Central","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0608100000","California","San Mateo","San Mateo County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0608300000","California","Santa Barbara","Santa Barbara County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0608300000","California","Santa Barbara","Santa Barbara County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0608300000","California","Santa Barbara","Santa Barbara County","County","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","Yes","No",
"0608300000","California","Santa Barbara","Santa Barbara County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0608500000","California","Santa Clara","Santa Clara County","County","Dominion Voting Systems","ImageCast Precinct","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0608500000","California","Santa Clara","Santa Clara County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0608500000","California","Santa Clara","Santa Clara County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0608500000","California","Santa Clara","Santa Clara County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0608500000","California","Santa Clara","Santa Clara County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0608700000","California","Santa Cruz","Santa Cruz County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0608700000","California","Santa Cruz","Santa Cruz County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0608700000","California","Santa Cruz","Santa Cruz County","County","DFM","EIMS","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0608700000","California","Santa Cruz","Santa Cruz County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0608900000","California","Shasta","Shasta County","County","Dominion Voting Systems","ImageCast Evolution","Hybrid Optical Scan/BMD","N/A","Yes","Yes","Yes","No",
"0608900000","California","Shasta","Shasta County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0608900000","California","Shasta","Shasta County","County","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","Yes","No",
"0608900000","California","Shasta","Shasta County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0609100000","California","Sierra","Sierra County","County","Hart InterCivic","Verity Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0609100000","California","Sierra","Sierra County","County","Hart InterCivic","Verity Touch Writer","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0609100000","California","Sierra","Sierra County","County","Hart InterCivic","Verity Scan","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0609100000","California","Sierra","Sierra County","County","DFM","EIMS","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0609100000","California","Sierra","Sierra County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0609300000","California","Siskiyou","Siskiyou County","County","Dominion Voting Systems","ImageCast Evolution","Hybrid Optical Scan/BMD","N/A","Yes","Yes","Yes","No",
"0609300000","California","Siskiyou","Siskiyou County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0609300000","California","Siskiyou","Siskiyou County","County","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","Yes","No",
"0609300000","California","Siskiyou","Siskiyou County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0609500000","California","Solano","Solano County","County","Hart InterCivic","Verity Scan","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0609500000","California","Solano","Solano County","County","Hart InterCivic","Verity Touch Writer","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0609500000","California","Solano","Solano County","County","Hart InterCivic","Verity Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0609500000","California","Solano","Solano County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0609500000","California","Solano","Solano County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0609700000","California","Sonoma","Sonoma County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0609700000","California","Sonoma","Sonoma County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0609700000","California","Sonoma","Sonoma County","County","DFM","EIMS","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0609700000","California","Sonoma","Sonoma County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0609900000","California","Stanislaus","Stanislaus County","County","Hart InterCivic","Verity Scan","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0609900000","California","Stanislaus","Stanislaus County","County","Hart InterCivic","Verity Touch Writer","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0609900000","California","Stanislaus","Stanislaus County","County","Hart InterCivic","Verity Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0609900000","California","Stanislaus","Stanislaus County","County","Runbeck","EMS-DIMS","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0609900000","California","Stanislaus","Stanislaus County","County","Runbeck","EMS-DIMS","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0609900000","California","Stanislaus","Stanislaus County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0610100000","California","Sutter","Sutter County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","Yes","No","Yes","Yes",
"0610100000","California","Sutter","Sutter County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0610100000","California","Sutter","Sutter County","County","DFM","EIMS","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0610100000","California","Sutter","Sutter County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0610300000","California","Tehama","Tehama County","County","Dominion Voting Systems","ImageCast Evolution","Hybrid Optical Scan/BMD","N/A","Yes","Yes","Yes","No",
"0610300000","California","Tehama","Tehama County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0610300000","California","Tehama","Tehama County","County","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","Yes","No",
"0610300000","California","Tehama","Tehama County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0610500000","California","Trinity","Trinity County","County","Hart InterCivic","Verity Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0610500000","California","Trinity","Trinity County","County","Hart InterCivic","Verity Touch Writer","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0610500000","California","Trinity","Trinity County","County","Hart InterCivic","Verity Scan","Hand-Fed Optical Scanner","N/A","Yes","No","Yes","No",
"0610500000","California","Trinity","Trinity County","County","Not Applicable","Not Applicable","Paper Poll Book","N/A","Yes","No","Yes","No",
"0610500000","California","Trinity","Trinity County","County","Democracy Live","Secure Select","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0610700000","California","Tulare","Tulare County","County","Dominion Voting Systems","ImageCast Evolution","Hybrid Optical Scan/BMD","N/A","Yes","No","Yes","No",
"0610700000","California","Tulare","Tulare County","County","Dominion Voting Systems","ImageCast X","Ballot Marking Device","N/A","Yes","Yes","Yes","No",
"0610700000","California","Tulare","Tulare County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
"0610700000","California","Tulare","Tulare County","County","KNOWiNK","Poll Pad","Electronic Poll Book","N/A","Yes","No","Yes","No",
"0610700000","California","Tulare","Tulare County","County","Dominion Voting Systems","ImageCast Remote","Remote Ballot Marking System: Client-Side","N/A","No","No","No","No",
"0610900000","California","Tuolumne","Tuolumne County","County","Dominion Voting Systems","ImageCast Central","Batch-Fed Optical Scanner","N/A","No","No","No","Yes",
